time,x,y,id,risk-so-far,total-risk
6.76,3.8691,2.931,9,0.0,0.0011604079501532638
6.76,3.8912,0.9053,10,0.0,0.0
6.8,0.4158,1.9615,1,0.0,0.0
6.8,0.8101,2.9936,2,0.0,0.0
6.8,0.7288,3.6261,3,0.0,0.0
6.8,1.5273,1.3191,4,0.0,0.0
6.8,1.5809,2.122,5,0.0,0.00010643444897329157
6.8,2.7163,3.117,6,0.0,0.0011719952137613232
6.8,2.8607,1.4605,7,0.0,0.0
6.8,3.3632,3.5809,8,0.0,1.1600725181803995e-05
6.8,3.7946,2.9222,9,0.0,0.0011604079501532638
6.8,3.7529,0.9107,10,0.0,0.0
6.84,0.3579,1.9604,1,0.0,0.0
6.84,0.763,2.9896,2,0.0,0.0
6.84,0.6637,3.6334,3,0.0,0.0
6.84,1.4643,1.3225,4,0.0,0.0
6.84,1.5155,2.1149,5,0.0,0.00010643444897329157
6.84,2.6628,3.1231,6,0.0,0.0011719952137613232
6.84,2.7967,1.4578,7,0.0,0.0
6.84,3.295,3.5815,8,0.0,1.1600725181803995e-05
6.84,3.7215,2.9121,9,0.0,0.0011604079501532638
6.84,3.6514,0.8969,10,0.0,0.0
6.88,0.3044,1.9606,1,0.0,0.0
6.88,0.7118,2.9894,2,0.0,0.0
6.88,0.6054,3.6406,3,0.0,0.0
6.88,1.3986,1.3258,4,0.0,0.0
6.88,1.4541,2.1065,5,0.0,0.00010643444897329157
6.88,2.6009,3.1071,6,0.0,0.0011719952137613232
6.88,2.7312,1.4558,7,0.0,0.0
6.88,3.2163,3.5818,8,0.0,1.1600725181803995e-05
6.88,3.647,2.9034,9,0.0,0.0011604079501532638
6.88,3.5499,0.8703,10,0.0,0.0
6.88,4.5858,3.7704,11,0.0,0.0
6.92,0.2534,1.9634,1,0.0,0.0
6.92,0.6647,2.988,2,0.0,0.0
6.92,0.5425,3.6446,3,0.0,0.0
6.92,1.3343,1.3278,4,0.0,0.0
6.92,1.3954,2.0982,5,0.0,0.00010643444897329157
6.92,2.5419,3.0947,6,0.0,0.0011719952137613232
6.92,2.6711,1.4582,7,0.0,0.0
6.92,3.148,3.585,8,0.0,1.1600725181803995e-05
6.92,3.5676,2.8987,9,0.0,0.0011604079501532638
6.92,3.4574,0.8505,10,0.0,0.0
6.92,4.4953,3.7794,11,0.0,0.0
6.96,0.1992,1.9669,1,0.0,0.0
6.96,0.6138,2.9773,2,0.0,0.0
6.96,0.481,3.65,3,0.0,0.0
6.96,1.2754,1.3221,4,0.0,0.0
6.96,1.3391,2.0952,5,0.0,0.00010643444897329157
6.96,2.4857,3.0984,6,0.0,0.0011719952137613232
6.96,2.6051,1.4581,7,0.0,0.0
6.96,3.0772,3.5855,8,0.0,1.1600725181803995e-05
6.96,3.4841,2.8857,9,0.0,0.0011604079501532638
6.96,3.3752,0.8362,10,0.0,0.0
6.96,4.4151,3.7893,11,0.0,0.0
7.0,0.1449,1.971,1,0.0,0.0
7.0,0.5641,2.9732,2,0.0,0.0
7.0,0.4238,3.6482,3,0.0,0.0
7.0,1.2219,1.314,4,0.0,0.0
7.0,1.2866,2.0962,5,0.0,0.00010643444897329157
7.0,2.4285,3.0908,6,0.0,0.0011719952137613232
7.0,2.5395,1.4632,7,0.0,0.0
7.0,3.0089,3.5887,8,0.0,1.1600725181803995e-05
7.0,3.3871,2.8655,9,0.0,0.0011604079501532638
7.0,3.3091,0.8093,10,0.0,0.0
7.0,4.3428,3.8,11,0.0,0.0
7.04,0.0916,1.9746,1,0.0,0.0
7.04,0.5119,2.9664,2,0.0,0.0
7.04,0.3632,3.6479,3,0.0,0.0
7.04,1.1578,1.3081,4,0.0,0.0
7.04,1.2341,2.0973,5,0.0,0.00010643444897329157
7.04,2.3706,3.0871,6,0.0,0.0011719952137613232
7.04,2.4737,1.4692,7,0.0,0.0
7.04,2.9431,3.5946,8,0.0,1.1600725181803995e-05
7.04,3.2942,2.8531,9,0.0,0.0011604079501532638
7.04,3.2413,0.7942,10,0.0,0.0
7.04,4.2755,3.8093,11,0.0,0.0
7.08,0.0374,1.9818,1,0.0,0.0
7.08,0.457,2.9595,2,0.0,0.0
7.08,0.3058,3.6597,3,0.0,0.0
7.08,1.0988,1.3077,4,0.0,0.0
7.08,1.1802,2.0997,5,0.0,0.00010643444897329157
7.08,2.3104,3.0854,6,0.0,0.0011719952137613232
7.08,2.4028,1.4723,7,0.0,0.0
7.08,2.8774,3.6006,8,0.0,1.1600725181803995e-05
7.08,3.2074,2.8381,9,0.0,0.0011604079501532638
7.08,3.1789,0.7766,10,0.0,0.0
7.08,4.2071,3.8165,11,0.0,0.0
7.12,-0.0204,1.9879,1,0.0,0.0
7.12,0.3995,2.95,2,0.0,0.0
7.12,0.2457,3.6589,3,0.0,0.0
7.12,1.0452,1.3188,4,0.0,0.0
